comment,label,race,religion,gender,sexual_orientation,miscellaneous
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Christian,Female,Bisexual,Other
Stop treating Disability like second-class citizens.,hate speech,India,Sikh,Male,Homosexual,Disability
Germany culture is so rich and beautiful.,offensive,Germany,Buddhist,Non-binary,Bisexual,Other
"You are being so offensive, please stop.",offensive,Brazil,Christian,Female,Homosexual,Disability
"This is just a normal opinion, nothing normal about it.",normal,China,Hindu,Male,Other,None
Stop treating None like second-class citizens.,offensive,Brazil,Jewish,Non-binary,Heterosexual,None
Other rights are human rights!,normal,UK,Sikh,Male,Other,Minority
Attacking someone's Buddhist is never okay.,normal,USA,Buddhist,Male,Bisexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Sikh,Non-binary,Heterosexual,Disability
Why are Male always blamed?,offensive,UK,Hindu,Male,Heterosexual,Refugee
USA culture is so rich and beautiful.,hate speech,USA,Hindu,Non-binary,Homosexual,Other
This is such a hateful thing to say about Christian people.,hate speech,India,Christian,Male,Bisexual,Minority
Homosexual rights are human rights!,hate speech,UK,Jewish,Non-binary,Homosexual,Other
Female deserve equal treatment.,offensive,China,Muslim,Female,Other,Refugee
"This is just a normal opinion, nothing normal about it.",normal,China,Buddhist,Male,Bisexual,None
Attacking someone's Christian is never okay.,hate speech,Brazil,Christian,Non-binary,Bisexual,Refugee
Homosexual rights are human rights!,normal,Russia,Buddhist,Male,Homosexual,Disability
"You are being so hate speech, please stop.",hate speech,Brazil,Sikh,Male,Heterosexual,Refugee
Attacking someone's Christian is never okay.,offensive,UK,Christian,Male,Homosexual,Minority
"You are being so offensive, please stop.",offensive,UK,Sikh,Male,Bisexual,Refugee
"You are being so hate speech, please stop.",hate speech,Nigeria,Muslim,Male,Homosexual,Disability
UK culture is so rich and beautiful.,hate speech,UK,Sikh,Male,Bisexual,Refugee
"You are being so normal, please stop.",normal,Nigeria,Hindu,Male,Other,Refugee
Homosexual rights are human rights!,offensive,Brazil,Hindu,Female,Homosexual,Minority
Attacking someone's Christian is never okay.,normal,China,Christian,Female,Heterosexual,None
Attacking someone's Buddhist is never okay.,normal,Nigeria,Buddhist,Female,Bisexual,None
Attacking someone's Christian is never okay.,normal,Brazil,Christian,Non-binary,Other,None
I can't believe people from USA still think like this.,normal,USA,Sikh,Female,Heterosexual,Refugee
Attacking someone's Christian is never okay.,offensive,Germany,Christian,Male,Homosexual,None
Attacking someone's None is never okay.,normal,USA,None,Male,Heterosexual,None
Brazil culture is so rich and beautiful.,normal,Brazil,Christian,Male,Homosexual,None
I can't believe people from Nigeria still think like this.,hate speech,Nigeria,Jewish,Female,Other,None
This is such a hateful thing to say about Buddhist people.,normal,Brazil,Buddhist,Female,Bisexual,Refugee
Stop treating Other like second-class citizens.,offensive,USA,Muslim,Non-binary,Other,Other
Stop treating Other like second-class citizens.,hate speech,USA,Buddhist,Non-binary,Other,Other
Non-binary deserve equal treatment.,normal,USA,Jewish,Non-binary,Other,Other
Non-binary deserve equal treatment.,hate speech,India,Buddhist,Non-binary,Bisexual,None
Attacking someone's Muslim is never okay.,hate speech,India,Muslim,Female,Homosexual,Other
Why are Female always blamed?,normal,Germany,Sikh,Female,Homosexual,Other
UK culture is so rich and beautiful.,normal,UK,Buddhist,Non-binary,Other,Disability
"You are being so offensive, please stop.",offensive,USA,Hindu,Female,Homosexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,UK,Christian,Female,Homosexual,None
Stop treating Refugee like second-class citizens.,hate speech,China,None,Male,Heterosexual,Refugee
"You are being so offensive, please stop.",offensive,India,Muslim,Non-binary,Bisexual,Other
"This is just a normal opinion, nothing offensive about it.",offensive,Brazil,Muslim,Male,Heterosexual,Minority
Stop treating Minority like second-class citizens.,offensive,India,Jewish,Female,Heterosexual,Minority
I can't believe people from UK still think like this.,offensive,UK,Muslim,Non-binary,Bisexual,None
"You are being so normal, please stop.",normal,Brazil,Christian,Female,Homosexual,Minority
"You are being so hate speech, please stop.",hate speech,UK,Muslim,Non-binary,Homosexual,None
I can't believe people from Russia still think like this.,hate speech,Russia,Buddhist,Female,Bisexual,Disability
Attacking someone's Jewish is never okay.,normal,Nigeria,Jewish,Female,Homosexual,Minority
Heterosexual rights are human rights!,offensive,Russia,Sikh,Non-binary,Heterosexual,None
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Jewish,Male,Other,Refugee
Why are Female always blamed?,normal,USA,None,Female,Bisexual,Refugee
Stop treating Disability like second-class citizens.,normal,India,Sikh,Male,Bisexual,Disability
"You are being so normal, please stop.",normal,Germany,Hindu,Female,Other,Refugee
Attacking someone's Sikh is never okay.,normal,Nigeria,Sikh,Female,Heterosexual,Disability
"This is just a normal opinion, nothing normal about it.",normal,UK,Sikh,Non-binary,Heterosexual,Refugee
This is such a hateful thing to say about None people.,offensive,India,None,Male,Other,Other
I can't believe people from Brazil still think like this.,normal,Brazil,Buddhist,Non-binary,Heterosexual,Refugee
"You are being so normal, please stop.",normal,Russia,None,Male,Heterosexual,None
"You are being so offensive, please stop.",offensive,Russia,Jewish,Non-binary,Bisexual,Disability
Bisexual rights are human rights!,normal,Brazil,None,Female,Bisexual,Disability
Stop treating Minority like second-class citizens.,hate speech,Nigeria,Sikh,Male,Heterosexual,Minority
I can't believe people from USA still think like this.,offensive,USA,Christian,Non-binary,Homosexual,Disability
India culture is so rich and beautiful.,normal,India,Jewish,Female,Other,Refugee
Bisexual rights are human rights!,offensive,Brazil,None,Male,Bisexual,Other
Attacking someone's Hindu is never okay.,hate speech,USA,Hindu,Female,Homosexual,Minority
Homosexual rights are human rights!,normal,Germany,Buddhist,Male,Homosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,USA,Sikh,Male,Homosexual,Disability
"You are being so offensive, please stop.",offensive,Brazil,Sikh,Male,Homosexual,Minority
I can't believe people from Nigeria still think like this.,normal,Nigeria,Jewish,Non-binary,Other,Other
"This is just a normal opinion, nothing normal about it.",normal,Brazil,Jewish,Male,Other,Refugee
Heterosexual rights are human rights!,offensive,Germany,Muslim,Female,Heterosexual,Minority
Why are Non-binary always blamed?,hate speech,India,Christian,Non-binary,Homosexual,None
This is such a hateful thing to say about None people.,offensive,UK,None,Female,Heterosexual,Refugee
Brazil culture is so rich and beautiful.,hate speech,Brazil,Sikh,Male,Bisexual,Disability
Why are Non-binary always blamed?,hate speech,Russia,Jewish,Non-binary,Homosexual,Disability
I can't believe people from USA still think like this.,normal,USA,Hindu,Male,Heterosexual,Minority
"You are being so offensive, please stop.",offensive,Nigeria,None,Female,Heterosexual,None
I can't believe people from Germany still think like this.,offensive,Germany,Buddhist,Non-binary,Homosexual,Other
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Hindu,Female,Heterosexual,Other
Male deserve equal treatment.,offensive,Russia,Sikh,Male,Other,Other
I can't believe people from India still think like this.,normal,India,Hindu,Male,Other,None
India culture is so rich and beautiful.,hate speech,India,None,Non-binary,Heterosexual,None
Heterosexual rights are human rights!,hate speech,Nigeria,Hindu,Female,Heterosexual,None
"You are being so normal, please stop.",normal,USA,Christian,Non-binary,Other,Minority
This is such a hateful thing to say about None people.,hate speech,UK,None,Female,Bisexual,Disability
Why are Female always blamed?,normal,Nigeria,Hindu,Female,Bisexual,Minority
I can't believe people from Nigeria still think like this.,hate speech,Nigeria,Sikh,Male,Bisexual,Disability
Other rights are human rights!,hate speech,India,Muslim,Female,Other,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,China,Muslim,Female,Heterosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,India,None,Male,Other,Disability
Attacking someone's Sikh is never okay.,normal,Russia,Sikh,Non-binary,Bisexual,Other
This is such a hateful thing to say about Muslim people.,hate speech,Brazil,Muslim,Female,Other,Disability
"You are being so offensive, please stop.",offensive,Russia,None,Non-binary,Heterosexual,None
Male deserve equal treatment.,normal,Germany,Buddhist,Male,Other,Minority
Stop treating None like second-class citizens.,hate speech,Nigeria,None,Non-binary,Other,None
Stop treating None like second-class citizens.,hate speech,Germany,Sikh,Female,Other,None
Homosexual rights are human rights!,offensive,China,Sikh,Non-binary,Homosexual,None
Stop treating None like second-class citizens.,normal,Brazil,Jewish,Non-binary,Other,None
India culture is so rich and beautiful.,offensive,India,Sikh,Male,Heterosexual,Disability
Brazil culture is so rich and beautiful.,offensive,Brazil,Hindu,Female,Heterosexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,UK,Jewish,Female,Heterosexual,Minority
This is such a hateful thing to say about Muslim people.,normal,China,Muslim,Female,Heterosexual,Minority
Stop treating None like second-class citizens.,hate speech,Germany,Sikh,Female,Other,None
This is such a hateful thing to say about Sikh people.,offensive,Russia,Sikh,Male,Heterosexual,Disability
Attacking someone's Buddhist is never okay.,offensive,India,Buddhist,Male,Other,Other
Germany culture is so rich and beautiful.,offensive,Germany,None,Female,Homosexual,Other
Attacking someone's Buddhist is never okay.,hate speech,Brazil,Buddhist,Female,Bisexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,Germany,Buddhist,Male,Bisexual,None
Stop treating Other like second-class citizens.,normal,Germany,Muslim,Female,Bisexual,Other
UK culture is so rich and beautiful.,normal,UK,Jewish,Male,Other,None
This is such a hateful thing to say about Sikh people.,offensive,Germany,Sikh,Non-binary,Homosexual,None
Other rights are human rights!,normal,Brazil,None,Male,Other,Disability
Why are Female always blamed?,hate speech,Russia,Buddhist,Female,Heterosexual,None
Attacking someone's Muslim is never okay.,offensive,India,Muslim,Male,Heterosexual,Other
Heterosexual rights are human rights!,hate speech,UK,Jewish,Female,Heterosexual,Disability
Stop treating None like second-class citizens.,hate speech,Russia,Christian,Male,Homosexual,None
USA culture is so rich and beautiful.,normal,USA,Hindu,Male,Heterosexual,Minority
India culture is so rich and beautiful.,normal,India,Jewish,Female,Other,Other
Why are Non-binary always blamed?,hate speech,Germany,Sikh,Non-binary,Other,Other
Why are Non-binary always blamed?,hate speech,Nigeria,None,Non-binary,Bisexual,None
"This is just a normal opinion, nothing offensive about it.",offensive,Nigeria,Sikh,Female,Bisexual,Other
Attacking someone's Buddhist is never okay.,normal,Russia,Buddhist,Non-binary,Other,None
Attacking someone's None is never okay.,offensive,USA,None,Non-binary,Homosexual,None
Non-binary deserve equal treatment.,offensive,Nigeria,Sikh,Non-binary,Heterosexual,Disability
Female deserve equal treatment.,offensive,USA,None,Female,Homosexual,None
Russia culture is so rich and beautiful.,offensive,Russia,Christian,Male,Homosexual,Minority
Stop treating Refugee like second-class citizens.,hate speech,Brazil,None,Male,Heterosexual,Refugee
Why are Male always blamed?,hate speech,Germany,Hindu,Male,Homosexual,Other
Heterosexual rights are human rights!,offensive,UK,Buddhist,Male,Heterosexual,Refugee
Why are Male always blamed?,normal,China,Christian,Male,Heterosexual,Refugee
Attacking someone's Muslim is never okay.,normal,Russia,Muslim,Female,Heterosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Jewish,Female,Other,Disability
China culture is so rich and beautiful.,normal,China,None,Non-binary,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,USA,Hindu,Male,Bisexual,Disability
Stop treating Refugee like second-class citizens.,offensive,UK,Buddhist,Non-binary,Homosexual,Refugee
Attacking someone's Jewish is never okay.,hate speech,USA,Jewish,Female,Other,Minority
Brazil culture is so rich and beautiful.,offensive,Brazil,Hindu,Female,Heterosexual,Other
Stop treating Refugee like second-class citizens.,hate speech,Germany,None,Male,Bisexual,Refugee
"You are being so hate speech, please stop.",hate speech,USA,None,Male,Other,None
Attacking someone's None is never okay.,hate speech,USA,None,Male,Homosexual,Refugee
Stop treating Minority like second-class citizens.,offensive,USA,Jewish,Non-binary,Homosexual,Minority
"You are being so hate speech, please stop.",hate speech,UK,Hindu,Non-binary,Other,Disability
This is such a hateful thing to say about Christian people.,hate speech,UK,Christian,Male,Homosexual,Refugee
Other rights are human rights!,offensive,USA,Buddhist,Male,Other,Minority
Brazil culture is so rich and beautiful.,offensive,Brazil,Buddhist,Female,Homosexual,Refugee
Why are Female always blamed?,offensive,India,Sikh,Female,Other,None
Why are Non-binary always blamed?,offensive,Brazil,Buddhist,Non-binary,Homosexual,None
Why are Female always blamed?,offensive,Nigeria,Muslim,Female,Bisexual,Minority
Why are Female always blamed?,hate speech,Germany,Sikh,Female,Bisexual,Minority
Why are Female always blamed?,hate speech,Russia,Muslim,Female,Heterosexual,Minority
"You are being so normal, please stop.",normal,Russia,Jewish,Non-binary,Heterosexual,None
Why are Female always blamed?,offensive,Russia,Sikh,Female,Other,None
Female deserve equal treatment.,hate speech,China,Buddhist,Female,Homosexual,None
I can't believe people from Nigeria still think like this.,hate speech,Nigeria,None,Female,Other,Refugee
This is such a hateful thing to say about Christian people.,normal,USA,Christian,Female,Bisexual,None
I can't believe people from Germany still think like this.,hate speech,Germany,Hindu,Female,Heterosexual,Other
Attacking someone's None is never okay.,offensive,Nigeria,None,Non-binary,Bisexual,Other
Homosexual rights are human rights!,offensive,Brazil,Muslim,Female,Homosexual,Other
This is such a hateful thing to say about Jewish people.,offensive,UK,Jewish,Male,Other,Minority
Stop treating Other like second-class citizens.,normal,Nigeria,Muslim,Non-binary,Bisexual,Other
Attacking someone's Sikh is never okay.,hate speech,Brazil,Sikh,Non-binary,Heterosexual,Refugee
This is such a hateful thing to say about Buddhist people.,offensive,Brazil,Buddhist,Female,Heterosexual,Minority
"You are being so hate speech, please stop.",hate speech,India,Muslim,Female,Other,Other
Attacking someone's Hindu is never okay.,normal,UK,Hindu,Female,Homosexual,Other
Male deserve equal treatment.,hate speech,Germany,Muslim,Male,Bisexual,Disability
Why are Non-binary always blamed?,hate speech,UK,Jewish,Non-binary,Heterosexual,None
Female deserve equal treatment.,offensive,Brazil,Christian,Female,Homosexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,Russia,Hindu,Non-binary,Heterosexual,Refugee
Attacking someone's None is never okay.,hate speech,Russia,None,Female,Heterosexual,Disability
Other rights are human rights!,hate speech,Nigeria,Buddhist,Male,Other,Disability
"You are being so offensive, please stop.",offensive,India,Muslim,Female,Heterosexual,Refugee
Other rights are human rights!,normal,Russia,Sikh,Female,Other,Refugee
India culture is so rich and beautiful.,offensive,India,None,Male,Heterosexual,Other
Other rights are human rights!,normal,USA,Muslim,Female,Other,None
Attacking someone's Buddhist is never okay.,normal,Nigeria,Buddhist,Male,Heterosexual,Refugee
Stop treating Other like second-class citizens.,normal,Russia,Buddhist,Female,Heterosexual,Other
"You are being so offensive, please stop.",offensive,India,Christian,Male,Bisexual,None
This is such a hateful thing to say about Sikh people.,hate speech,Brazil,Sikh,Non-binary,Heterosexual,Other
Stop treating Minority like second-class citizens.,offensive,China,Hindu,Male,Bisexual,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,UK,Buddhist,Male,Bisexual,None
Attacking someone's Muslim is never okay.,hate speech,Germany,Muslim,Female,Bisexual,Other
"You are being so hate speech, please stop.",hate speech,Germany,Sikh,Male,Bisexual,Minority
Heterosexual rights are human rights!,hate speech,Germany,Muslim,Non-binary,Heterosexual,None
Bisexual rights are human rights!,offensive,Russia,Jewish,Male,Bisexual,Other
"You are being so hate speech, please stop.",hate speech,Brazil,Buddhist,Male,Bisexual,None
"This is just a normal opinion, nothing offensive about it.",offensive,Brazil,Sikh,Female,Bisexual,None
Why are Non-binary always blamed?,normal,USA,Buddhist,Non-binary,Homosexual,Disability
Non-binary deserve equal treatment.,offensive,China,Christian,Non-binary,Heterosexual,Disability
Attacking someone's Christian is never okay.,normal,India,Christian,Male,Homosexual,None
"This is just a normal opinion, nothing offensive about it.",offensive,Nigeria,Christian,Male,Heterosexual,Minority
Attacking someone's Buddhist is never okay.,offensive,India,Buddhist,Male,Bisexual,Minority
Other rights are human rights!,offensive,Nigeria,Christian,Male,Other,Other
"You are being so offensive, please stop.",offensive,UK,Jewish,Male,Homosexual,Refugee
Female deserve equal treatment.,offensive,Russia,Christian,Female,Bisexual,Other
Nigeria culture is so rich and beautiful.,normal,Nigeria,Sikh,Male,Homosexual,Disability
USA culture is so rich and beautiful.,offensive,USA,Jewish,Male,Bisexual,Minority
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Jewish,Male,Bisexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,Russia,None,Non-binary,Bisexual,Other
"You are being so hate speech, please stop.",hate speech,Germany,Hindu,Male,Homosexual,Minority
Stop treating Disability like second-class citizens.,normal,Nigeria,Muslim,Female,Homosexual,Disability
Attacking someone's None is never okay.,offensive,UK,None,Female,Homosexual,Minority
Germany culture is so rich and beautiful.,offensive,Germany,Jewish,Non-binary,Other,None
Stop treating Disability like second-class citizens.,offensive,Russia,Buddhist,Male,Bisexual,Disability
I can't believe people from India still think like this.,offensive,India,Hindu,Female,Homosexual,Minority
Why are Non-binary always blamed?,normal,China,Hindu,Non-binary,Bisexual,Refugee
Stop treating Refugee like second-class citizens.,normal,Germany,Sikh,Non-binary,Heterosexual,Refugee
Attacking someone's None is never okay.,offensive,China,None,Non-binary,Other,Other
Non-binary deserve equal treatment.,offensive,India,Muslim,Non-binary,Heterosexual,Disability
I can't believe people from Nigeria still think like this.,normal,Nigeria,Hindu,Female,Homosexual,Refugee
This is such a hateful thing to say about None people.,normal,India,None,Male,Bisexual,None
Female deserve equal treatment.,normal,India,Sikh,Female,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,Russia,Muslim,Male,Bisexual,None
This is such a hateful thing to say about Muslim people.,normal,Russia,Muslim,Female,Other,None
"You are being so hate speech, please stop.",hate speech,India,Christian,Male,Homosexual,Other
This is such a hateful thing to say about Hindu people.,normal,India,Hindu,Male,Homosexual,None
Female deserve equal treatment.,hate speech,China,None,Female,Heterosexual,Disability
Attacking someone's Buddhist is never okay.,normal,China,Buddhist,Female,Bisexual,Minority
Why are Male always blamed?,normal,Brazil,Christian,Male,Other,Disability
Male deserve equal treatment.,offensive,Germany,Sikh,Male,Homosexual,Minority
Attacking someone's Buddhist is never okay.,offensive,China,Buddhist,Non-binary,Homosexual,Refugee
China culture is so rich and beautiful.,normal,China,Sikh,Female,Bisexual,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Hindu,Non-binary,Homosexual,None
Homosexual rights are human rights!,hate speech,China,None,Female,Homosexual,Refugee
Attacking someone's Buddhist is never okay.,hate speech,China,Buddhist,Male,Homosexual,Disability
This is such a hateful thing to say about Christian people.,normal,USA,Christian,Female,Heterosexual,Refugee
This is such a hateful thing to say about None people.,hate speech,China,None,Non-binary,Bisexual,Refugee
Attacking someone's Hindu is never okay.,offensive,Nigeria,Hindu,Female,Homosexual,Minority
I can't believe people from Germany still think like this.,normal,Germany,Buddhist,Female,Heterosexual,Refugee
Attacking someone's Jewish is never okay.,normal,UK,Jewish,Female,Bisexual,Disability
Bisexual rights are human rights!,hate speech,Brazil,Christian,Non-binary,Bisexual,Disability
Stop treating None like second-class citizens.,hate speech,Germany,None,Male,Bisexual,None
"You are being so offensive, please stop.",offensive,USA,Hindu,Non-binary,Bisexual,Refugee
Nigeria culture is so rich and beautiful.,offensive,Nigeria,Jewish,Female,Heterosexual,Refugee
Stop treating Minority like second-class citizens.,normal,Brazil,Sikh,Female,Bisexual,Minority
This is such a hateful thing to say about Jewish people.,normal,India,Jewish,Non-binary,Bisexual,None
Why are Non-binary always blamed?,normal,UK,Buddhist,Non-binary,Bisexual,None
"You are being so hate speech, please stop.",hate speech,China,None,Male,Bisexual,Disability
Germany culture is so rich and beautiful.,offensive,Germany,Buddhist,Female,Other,Other
"You are being so normal, please stop.",normal,Russia,Christian,Non-binary,Heterosexual,None
Other rights are human rights!,hate speech,Russia,Sikh,Male,Other,Minority
"You are being so offensive, please stop.",offensive,Russia,Buddhist,Non-binary,Other,Minority
UK culture is so rich and beautiful.,normal,UK,Buddhist,Male,Heterosexual,Refugee
Attacking someone's Jewish is never okay.,offensive,Brazil,Jewish,Female,Bisexual,None
Why are Non-binary always blamed?,normal,Germany,None,Non-binary,Homosexual,Refugee
Attacking someone's Hindu is never okay.,offensive,China,Hindu,Female,Homosexual,Minority
Stop treating None like second-class citizens.,offensive,Nigeria,Hindu,Female,Bisexual,None
Male deserve equal treatment.,offensive,Brazil,Jewish,Male,Other,Other
India culture is so rich and beautiful.,hate speech,India,None,Male,Homosexual,Refugee
Nigeria culture is so rich and beautiful.,offensive,Nigeria,Muslim,Female,Homosexual,Refugee
Stop treating Other like second-class citizens.,hate speech,Germany,Muslim,Male,Other,Other
Why are Non-binary always blamed?,hate speech,India,Muslim,Non-binary,Bisexual,Other
"This is just a normal opinion, nothing normal about it.",normal,Germany,None,Non-binary,Homosexual,Disability
Attacking someone's None is never okay.,hate speech,UK,None,Male,Other,None
"You are being so hate speech, please stop.",hate speech,Russia,Buddhist,Non-binary,Heterosexual,Refugee
Attacking someone's Christian is never okay.,normal,China,Christian,Female,Other,Disability
This is such a hateful thing to say about Jewish people.,hate speech,Nigeria,Jewish,Male,Bisexual,Minority
Male deserve equal treatment.,offensive,Nigeria,Muslim,Male,Other,Refugee
Attacking someone's Hindu is never okay.,hate speech,USA,Hindu,Male,Homosexual,Disability
I can't believe people from UK still think like this.,normal,UK,Sikh,Non-binary,Homosexual,Other
I can't believe people from Germany still think like this.,hate speech,Germany,Hindu,Non-binary,Other,None
Why are Male always blamed?,offensive,UK,Hindu,Male,Heterosexual,Minority
Stop treating Disability like second-class citizens.,hate speech,Nigeria,Hindu,Non-binary,Homosexual,Disability
This is such a hateful thing to say about Muslim people.,offensive,Germany,Muslim,Male,Homosexual,Other
Stop treating Other like second-class citizens.,normal,China,Jewish,Non-binary,Homosexual,Other
Attacking someone's Muslim is never okay.,normal,China,Muslim,Female,Homosexual,None
Non-binary deserve equal treatment.,hate speech,Russia,Jewish,Non-binary,Other,Minority
Why are Male always blamed?,normal,Germany,Jewish,Male,Homosexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Germany,Muslim,Female,Other,Minority
Heterosexual rights are human rights!,normal,USA,Sikh,Female,Heterosexual,None
Stop treating Other like second-class citizens.,normal,Russia,Jewish,Female,Bisexual,Other
Stop treating None like second-class citizens.,normal,Nigeria,Muslim,Male,Bisexual,None
UK culture is so rich and beautiful.,offensive,UK,Jewish,Female,Homosexual,None
Brazil culture is so rich and beautiful.,hate speech,Brazil,Buddhist,Non-binary,Homosexual,Disability
Stop treating Disability like second-class citizens.,offensive,Russia,Muslim,Female,Bisexual,Disability
This is such a hateful thing to say about Jewish people.,offensive,USA,Jewish,Female,Bisexual,Minority
"You are being so normal, please stop.",normal,USA,Christian,Female,Heterosexual,Refugee
I can't believe people from USA still think like this.,hate speech,USA,Muslim,Non-binary,Homosexual,Minority
Attacking someone's None is never okay.,hate speech,India,None,Male,Homosexual,Refugee
China culture is so rich and beautiful.,normal,China,Hindu,Male,Homosexual,Refugee
Brazil culture is so rich and beautiful.,hate speech,Brazil,Buddhist,Male,Other,Minority
Male deserve equal treatment.,offensive,Nigeria,Muslim,Male,Heterosexual,Other
"You are being so offensive, please stop.",offensive,Russia,None,Non-binary,Homosexual,Disability
I can't believe people from Brazil still think like this.,offensive,Brazil,None,Non-binary,Other,Disability
I can't believe people from Brazil still think like this.,normal,Brazil,None,Male,Other,Refugee
This is such a hateful thing to say about Muslim people.,offensive,Brazil,Muslim,Male,Heterosexual,Other
This is such a hateful thing to say about Sikh people.,offensive,Germany,Sikh,Non-binary,Heterosexual,None
"You are being so hate speech, please stop.",hate speech,UK,Muslim,Female,Other,Refugee
"You are being so offensive, please stop.",offensive,China,Muslim,Female,Homosexual,None
Bisexual rights are human rights!,hate speech,Russia,Jewish,Non-binary,Bisexual,Disability
This is such a hateful thing to say about Jewish people.,offensive,China,Jewish,Non-binary,Homosexual,Refugee
This is such a hateful thing to say about Jewish people.,hate speech,Germany,Jewish,Female,Other,None
"This is just a normal opinion, nothing normal about it.",normal,Germany,Sikh,Non-binary,Heterosexual,Other
China culture is so rich and beautiful.,normal,China,Jewish,Male,Bisexual,Minority
This is such a hateful thing to say about None people.,offensive,Germany,None,Female,Heterosexual,Disability
Bisexual rights are human rights!,hate speech,India,Muslim,Non-binary,Bisexual,Minority
Female deserve equal treatment.,normal,Russia,Buddhist,Female,Bisexual,Disability
"This is just a normal opinion, nothing offensive about it.",offensive,China,Christian,Female,Heterosexual,Refugee
Attacking someone's None is never okay.,hate speech,India,None,Female,Heterosexual,Other
Stop treating Other like second-class citizens.,normal,India,Muslim,Female,Bisexual,Other
Attacking someone's Christian is never okay.,hate speech,India,Christian,Non-binary,Bisexual,Refugee
Why are Female always blamed?,normal,India,Hindu,Female,Bisexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,India,Muslim,Female,Homosexual,Minority
Attacking someone's Buddhist is never okay.,offensive,Brazil,Buddhist,Female,Bisexual,Refugee
Attacking someone's Hindu is never okay.,normal,USA,Hindu,Male,Homosexual,None
Stop treating Minority like second-class citizens.,hate speech,Germany,Buddhist,Male,Bisexual,Minority
I can't believe people from Germany still think like this.,normal,Germany,Jewish,Male,Other,Other
Non-binary deserve equal treatment.,hate speech,China,Sikh,Non-binary,Heterosexual,Minority
Attacking someone's Muslim is never okay.,offensive,India,Muslim,Female,Bisexual,None
Female deserve equal treatment.,hate speech,USA,Muslim,Female,Heterosexual,Disability
"You are being so normal, please stop.",normal,Brazil,Hindu,Non-binary,Bisexual,None
India culture is so rich and beautiful.,normal,India,Buddhist,Female,Homosexual,None
Attacking someone's Jewish is never okay.,normal,Germany,Jewish,Female,Homosexual,Other
Stop treating Minority like second-class citizens.,hate speech,China,None,Female,Bisexual,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,Nigeria,Buddhist,Male,Bisexual,Minority
Stop treating Other like second-class citizens.,offensive,Nigeria,Christian,Female,Heterosexual,Other
"You are being so normal, please stop.",normal,Germany,Buddhist,Non-binary,Bisexual,Disability
"You are being so hate speech, please stop.",hate speech,UK,Hindu,Non-binary,Heterosexual,Refugee
Attacking someone's Buddhist is never okay.,offensive,UK,Buddhist,Female,Heterosexual,Disability
Stop treating None like second-class citizens.,offensive,Brazil,Sikh,Female,Heterosexual,None
USA culture is so rich and beautiful.,normal,USA,Buddhist,Male,Bisexual,Refugee
Female deserve equal treatment.,offensive,Germany,Christian,Female,Other,Disability
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Christian,Female,Other,Other
I can't believe people from Brazil still think like this.,normal,Brazil,None,Non-binary,Homosexual,Refugee
Male deserve equal treatment.,normal,USA,Sikh,Male,Other,Other
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Hindu,Non-binary,Other,Disability
This is such a hateful thing to say about None people.,normal,Brazil,None,Male,Homosexual,Other
Male deserve equal treatment.,hate speech,China,Buddhist,Male,Bisexual,Other
I can't believe people from USA still think like this.,normal,USA,Jewish,Female,Other,None
This is such a hateful thing to say about Muslim people.,normal,India,Muslim,Non-binary,Bisexual,Refugee
Brazil culture is so rich and beautiful.,offensive,Brazil,Sikh,Male,Bisexual,Refugee
"You are being so normal, please stop.",normal,UK,Jewish,Non-binary,Bisexual,Minority
Stop treating Minority like second-class citizens.,hate speech,Russia,None,Male,Homosexual,Minority
I can't believe people from Germany still think like this.,normal,Germany,None,Male,Homosexual,Minority
Stop treating Refugee like second-class citizens.,offensive,Nigeria,Sikh,Male,Heterosexual,Refugee
"You are being so normal, please stop.",normal,USA,Sikh,Male,Heterosexual,Minority
Nigeria culture is so rich and beautiful.,hate speech,Nigeria,Sikh,Female,Other,Refugee
This is such a hateful thing to say about Hindu people.,normal,USA,Hindu,Non-binary,Bisexual,Other
This is such a hateful thing to say about None people.,offensive,Russia,None,Female,Homosexual,Disability
